Client;FTP;FTP over SSH;SFTP;FTPS (FTP over SSL);FXP (Site2site transfer);DAV / HTTP(S);Compression;Remote Compression;API / Commandline available;Resume Download;Passive mode;Sync Connections;
AbsoluteTelnet;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ALFTP;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Beyond Compare;{{yes}};{{no}};{{yes}} (Pro only);{{yes}} (Pro only);{{no}};{{yes}} (Pro only);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Classic FTP;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Codeanywhere;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Commander One;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
CoreFTP;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
CrossFTP;{{yes}};{{yes}} (Pro only);{{yes}} (Pro only);{{yes}} (Pro only);{{yes}} (Pro only);{{yes}} (Pro only);{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};
cURL;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}} (Only);{{yes}};{{yes}};{{dunno}};
CuteFTP;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (HTTP(S);{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{dunno}};
Cyberduck;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}} (SFTP only);{{yes}};{{yes}};{{yes}};{{dunno}};
Directory Opus;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
ExpanDrive (Mac);{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
ExpanDrive (Windows);{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FAR Manager;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};
Fetch;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
FileZilla;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}} (basic);{{yes}};{{yes}};{{dunno}};
FireFTP;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
FlashFXP;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};
Fling FTP;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
ForkLift;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
FTP Client;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};
FTP Commander;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FTP Explorer;{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FTP Voyager;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Fugu;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
gFTP;{{yes}};{{yes}};{{yes}};{{yes}} (control connection only);{{yes}};{{dunno}};{{no}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Interarchy;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};
LeechFTP;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
lftp;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (Partial);{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};
Macfusion;{{yes}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Macfusion;{{yes}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
mimiFTP;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Monsta FTP (web-based);{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
NcFTP;{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};
pbFtpClient;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
PSFTP (PuTTY);{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};
RaiDrive;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
Robo-FTP;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Secure FTP;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
SmartFTP;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};
Steed;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{yes}};{{dunno}};
Swish;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};
Sysax FTP Automation;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes }};{{no}};{{yes}} (script and command line);{{dunno}};{{dunno}};{{dunno}};
Total Commander;{{yes}};{{yes}};{{yes}} (plugin);{{yes}};{{yes}};{{yes}} (plugin);{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};
Transmit;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}} (AppleScript);{{yes}};{{yes}};{{dunno}};
WebDrive;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (SFTP);{{yes}};{{yes}};{{yes}};{{dunno}};
Windows 7 (ftp.exe);{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};{{dunno}};
WinSCP;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}} (SFTP only);{{yes}} (SCP command);{{yes}};{{yes}};{{yes}};{{dunno}};
WISE-FTP;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
WS_FTP;{{yes}};{{yes}} (Pro only);{{yes}} (Pro only);{{yes}};{{yes}} (Pro only);{{yes}};{{yes}} (Pro only);{{no}};{{yes}} (Pro only);{{yes}} (Pro only);{{yes}};{{dunno}};
Xftp;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Yummy FTP;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (AppleScript);{{yes}};{{yes}};{{dunno}};
sFTP Client;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}} (SSH Terminal);{{yes}};{{yes}};{{yes}};
Client;FTP;FTP over SSH;SFTP;FTPS (FTP over SSL);FXP (Site2site transfer);DAV / HTTP(S);Compression;Remote Compression;API / Commandline available;Resume Download;Passive mode;
