File system;Creator;Year of introduction;Original operating system;
DECtape;DEC;1964;PDP-6 Monitor;
OS/3x0 FS;IBM;1964;OS/360;
Level-D;DEC;1968;TOPS-10;
George 2;ICT (later ICL);1968;George 2;
Version 6 Unix file system (V6FS);Bell Labs;1972;Version 6 Unix;
RT-11 file system;DEC;1973;RT-11;
Disk Operating System (GEC DOS);GEC;1973;Core Operating System;
CP/M file system;Digital Research (Gary Kildall);1974;CP/M[1][2];
ODS-1;DEC;1975;RSX-11;
GEC DOS filing system extended;GEC;1977;OS4000;
FAT (8-bit);Microsoft (Marc McDonald) for NCR;1977;Microsoft Standalone Disk BASIC-80 (later Microsoft Standalone Disk BASIC-86);
DOS 3.x;Apple;1978;Apple DOS;
UCSD p-System;UCSD;1978;UCSD p-System;
CBM DOS;Commodore;1978;Commodore BASIC;
Version 7 Unix file system (V7FS);Bell Labs;1979;Version 7 Unix;
ODS-2;DEC;1979;OpenVMS;
FAT12;Seattle Computer Products (Tim Paterson);1980;QDOS/86-DOS (later IBM PC DOS 1.0);
DFS;Acorn Computers Ltd;1982;Acorn BBC Micro MOS;
ADFS;Acorn Computers Ltd;1983;Acorn Electron (later Arthur/RISC OS);
FFS;Kirk McKusick;1983;4.2BSD;
ProDOS;Apple;1983;ProDOS 8;
FAT16;IBM, Microsoft;1984;PC DOS 3.0, MS-DOS 3.0;
MFS;Apple;1984;System 1;
Elektronika BK tape format;NPO "Scientific centre" (now Sitronics);1985;Vilnius Basic, BK monitor program;
HFS;Apple;1985;System 2.1;
Amiga OFS{{ref|54}};Metacomco for Commodore;1985;Amiga OS;
GEMDOS;Digital Research;1985;Atari TOS;
NWFS;Novell;1985;NetWare 286;
High Sierra;Ecma International;1986;MSCDEX for MS-DOS 3.1/3.2[3];
FAT16B;Compaq;1987;Compaq MS-DOS 3.31;
Minix V1 FS;Andrew S. Tanenbaum;1987;MINIX 1.0;
Amiga FFS;Commodore;1988;Amiga OS 1.3;
ISO 9660:1988;Ecma International, ISO;1988;MS-DOS, "classic" Mac OS, and AmigaOS;
HPFS;IBM & Microsoft;1989;OS/2 1.2;
Rock Ridge;IEEE;{{Circa|1990|sortable=yes}};Unix;
JFS1;IBM;1990;AIX{{efn |name=note-11 |IBM introduced JFS with the initial release of AIX Version 3.1 in 1990. This file system now called JFS1. The new JFS, on which the Linux port was based, was first shipped in OS/2 Warp Server for e-Business in 1999. The same sourcebase was also used for release JFS2 on AIX 5L.}};
VxFS;VERITAS;1991;SVR4.0;
ext;Rémy Card;1992;Linux;
AdvFS;DEC;1993[4];Digital Unix;
NTFS;Microsoft (Gary Kimura, Tom Miller);1993;Windows NT 3.1;
LFS;Margo Seltzer;1993;Berkeley Sprite;
ext2;Rémy Card;1993;Linux, Hurd;
Xiafs;Q. Frank Xia;1993;Linux;
UFS1;Kirk McKusick;1994;4.4BSD;
XFS;SGI;1994;IRIX;
HFS;IBM;1994;MVS/ESA (now z/OS);
FAT16X;Microsoft;1995;MS-DOS 7.0 / Windows 95;
Joliet ("CDFS");Microsoft;1995;Microsoft Windows, Linux, "classic" Mac OS, and FreeBSD;
UDF;ISO/ECMA/OSTA;1995;{{n/a}};
FAT32, FAT32X;Microsoft;1996;MS-DOS 7.10 / Windows 95 OSR2{{efn |name=note-10 |Microsoft first introduced FAT32 in MS-DOS 7.1 / Windows 95 OSR2 (OEM Service Release 2) and then later in Windows 98. NT-based Windows did not have any support for FAT32 up to Windows NT4; Windows 2000 was the first NT-based Windows OS that received the ability to work with it.}};
QFS;Sun Microsystems;1996;Solaris;
GPFS;IBM;1996;AIX, Linux;
Be File System;Be Inc. (D. Giampaolo, Cyril Meurillon);1996;BeOS;
Minix V2 FS;Andrew S. Tanenbaum;1997;MINIX 2.0;
HFS Plus;Apple;1998;Mac OS 8.1;
NSS;Novell;1998;NetWare 5;
PolyServe File System (PSFS);PolyServe;1998;Windows, Linux;
ODS-5;DEC;1998;OpenVMS 7.2;
WAFL;NetApp;1998;Data ONTAP;
ext3;Stephen Tweedie;1999;Linux;
ISO 9660:1999;Ecma International, ISO;1999;Microsoft Windows, Linux, "classic" Mac OS, FreeBSD, and AmigaOS;
JFS;IBM;1999;OS/2 Warp Server for e-business;
GFS;Sistina (Red Hat);2000;Linux;
ReiserFS;Namesys;2001;Linux;
zFS;IBM;2001;z/OS (backported to OS/390);
FATX;Microsoft;2002;Xbox;
UFS2;Kirk McKusick;2002;FreeBSD 5.0;
OCFS;Oracle Corporation;2002;Linux;
SquashFS;Phillip Lougher, Robert Lougher;2002;Linux;
VMFS2;VMware;2002;VMware ESX Server 2.0;
Lustre;Cluster File Systems[5];2002;Linux;
Fossil;Bell Labs;2003;Plan 9 version 4;
Google File System;Google;2003;Linux;
ZFS;Sun Microsystems;2004;Solaris;
Reiser4;Namesys;2004;Linux;
Non-Volatile File System;Palm, Inc.;2004;Palm OS Garnet;
BeeGFS;Fraunhofer/ ThinkParQ;2005;Linux, Windows via Samba;
GlusterFS;Gluster Inc.;2005;Linux;
Minix V3 FS;Andrew S. Tanenbaum;2005;MINIX 3;
OCFS2;Oracle Corporation;2005;Linux;
NILFS;NTT;2005;Linux;
VMFS3;VMware;2005;VMware ESX Server 3.0;
GFS2;Red Hat;2006;Linux;
ext4;various;2006;Linux;
exFAT;Microsoft;2006;Windows CE 6.0;
Btrfs;Oracle Corporation;2007;Linux;
JXFS;Hyperion Entertainment;2008;AmigaOS 4.1;
HAMMER;Matthew Dillon;2008;DragonFly BSD 2.0;
LSFS;StarWind Software;2009;Linux, FreeBSD, Windows;
UniFS;Nasuni;2009;Cloud;
CASL;Nimble Storage;2010;Linux;
OrangeFS;Omnibond and others;2011;Linux;
VMFS5;VMware;2011;vSphere 5.0+;
ReFS;Microsoft;2012;Windows Server 2012;
F2FS;Samsung Electronics;2012;Linux;
bcachefs;Kent Overstreet;2015;Linux;
APFS;Apple;2016;macOS High Sierra, iOS 10.3;
NOVA;UC, San Diego;2017;Linux;
