kernel;HP;Softbank/ARM Holdings;Intel;Tallwood MIPS;IBM;Renesas Electronics;Oracle;NXP;Analog Devices;Xilinx;Cadence;Canon/Axis Comm.;Socionext;Microchip/ Atmel;CML/ Hyperstone;Intel/Altera;WDC;Sunplus Technology;Mellanox;TI;
VAX;Alpha;PA-RISC;ARM;x86;i960;IA-64;MIPS;PowerPC;S/390;z/Arch;H8300;M16C;M32R;78K;V850;SuperH;SPARC;m68k;Blackfin (no-mmu);MicroBlaze;Xtensa;ETRAX CRIS;FR-V;MN10300;AVR32;E1 (no-mmu);Nios (no-mmu);Nios II;WDC 65C816;S+core;Tilera;C6X;
mmu;no-mmu;x86;x86-64;mmu;no-mmu;32-bit;64-bit;mmu;no-mmu;32-bit;64-bit;no-mmu;mmu;no-mmu;mmu;no-mmu;mmu;no-mmu;
DragonFly BSD kernel;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
FreeBSD kernel;{{No}};{{No}};{{No}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{No}};{{No}};{{Yes}};{{dunno}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Linux kernel;{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes2}}4.16 and below only[35];{{No}};{{Yes2}}2.6 and below only;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes2}}4.16 and below only[35];{{Yes}};{{Yes}};{{Yes}};{{Yes2}}4.16 and below only[35];{{Yes2}}4.16 and below only[35];{{Yes2}}4.16 and below only[35];{{Yes2}}4.12 and below only;{{No}};{{No}};{{yes}};{{yes}};{{No}};{{Yes2}}4.16 and below only[35];{{Yes2}}4.16 and below only[35];{{Yes}};
MINIX 3 kernel;{{dunno}};{{No}};{{No}};{{Yes}};{{dunno}};{{Yes}};In progress;{{No}};{{No}};In progress;{{dunno}};{{No}};{{No}};{{No}};{{No}};{{No}};{{dunno}};{{No}};{{dunno}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
NetBSD kernel;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{no}}[36];{{Yes}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{no}}[36];{{Yes}};{{No}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes}};{{no}}[36];{{Yes}};{{Yes}};{{no}}[36];{{Yes}};{{no}}[36];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
NetWare kernel;{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{dunno}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
OpenBSD kernel;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{dunno}};{{No}};{{Yes}};{{dunno}};{{Yes}};{{No}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{Yes}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Rockbox kernel;{{dunno}};{{dunno}};{{dunno}};{{Yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Solaris kernel;{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{dunno}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{No}};{{Yes}};{{Yes}};{{dunno}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Windows NT kernel;{{No}};{{Yes2}}NT 5.0 RC1 and below only;{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes2}}XP and 2003-2008 R2 only;{{Yes2}}NT 4.0 and below only;{{No}};{{Yes2}}NT 3.51 and NT 4.0 only;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Windows CE kernel;{{No}};{{No}};{{No}};{{Yes}};{{dunno}};{{Yes}};{{dunno}};{{No}};{{No}};{{Yes}};{{dunno}};{{No}};{{No}};{{No}};{{No}};{{No}};{{dunno}};{{No}};{{dunno}};{{No}};{{Yes}};{{dunno}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
XNU;{{No}};{{No}};{{No}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{dunno}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
SPARTAN kernel;{{dunno}};{{No}};{{No}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{dunno}};{{Yes}};{{Yes}};{{dunno}};{{Yes}};{{No}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{No}};{{No}};{{Yes}};{{Yes}};{{dunno}};{{No}};{{No}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FreeRTOS kernel;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[37];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[37];{{dunno}};{{dunno}};{{No}};{{yes}}[37];{{dunno}};{{dunno}};{{yes}}[37];{{yes}}[37];{{dunno}};{{yes}}[37];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[37];{{yes}}[37];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[37];{{dunno}};{{dunno}};{{dunno}};{{yes}}[37];{{dunno}};{{dunno}};{{dunno}};{{dunno}};
